año,trimestre,tipo_construccion,estado_constructivo,estrato,ampliacion,licencia,area_zonas_comunes,area_uni_parqueaderos,cantidad_parqueaderos,precio_unitario_parqueadero,sistema_constructivo,mano_obra_permanente,mano_obra_temporal,mano_obra_noremunerada,area_vendible,numero_destinaciones,numero_destinaciones_vendidas,numero_destinaciones_inventario,numero_edificaciones,numero_pisos,precio_metro2_miles,area_total_construida,area_uni_destino,rango_precios_vivienda,usa_concreto_mezcla,usa_concreto_premezcla,unidad_destinaciones_vip,unidad_destinaciones_vis,unidad_destinaciones_novis,precio_mts_millones
2007,3,apartamentos,1,3,Nueva,sin licencia,717,NA,NA,NA,sistema aporticado,0,30,0,4067,38,0,0,0,0,1300,4784,107,151 - 350 smmlv,NA,NA,NA,NA,38,1300000
2007,3,casas,3,2,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,100,1,0,0,0,0,600,100,100,151 - 350 smmlv,NA,NA,NA,NA,1,600000
2007,3,casas,3,2,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,90,1,0,0,0,0,600,90,90,111 - 150 smmlv,NA,NA,NA,1,NA,600000
2007,3,apartamentos,3,4,Nueva,sin licencia,1954,12,120,8000,estructura metalica,0,0,0,7155,90,15,0,0,0,1670,9109,79,151 - 350 smmlv,NA,NA,NA,NA,90,1670000
2007,3,apartamentos,1,5,Nueva,sin licencia,1260,14,96,12000,estructura metalica,15,110,0,11220,132,0,38,0,0,1650,12480,85,151 - 350 smmlv,NA,NA,NA,NA,132,1650000
2007,3,otros,1,5,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,15,110,0,3708,1,0,0,0,0,850,3708,3708,más de 350 smmlv,NA,NA,NA,NA,NA,850000
2007,3,apartamentos,1,4,Nueva,sin licencia,1110,15,77,9000,sistema aporticado,12,150,0,6290,56,0,0,0,0,1400,7400,112,más de 350 smmlv,NA,NA,NA,NA,56,1400000
2007,3,apartamentos,1,5,Nueva,sin licencia,2190,14,129,1100,sistema aporticado,23,160,0,12510,60,0,11,0,0,2100,14700,208,más de 350 smmlv,NA,NA,NA,NA,60,2100000
2007,3,apartamentos,1,4,Nueva,sin licencia,500,12,36,10500,sistema aporticado,10,40,0,2295,28,3,5,0,0,1550,2795,81,151 - 350 smmlv,NA,NA,NA,NA,28,1550000
2007,3,apartamentos,3,5,Nueva,sin licencia,537,12,32,9000,estructura metalica,0,0,0,5037,42,4,0,0,0,1800,5574,119,más de 350 smmlv,NA,NA,NA,NA,42,1800000
2007,3,apartamentos,1,5,Nueva,sin licencia,3651,14,89,11800,sistema aporticado,30,150,0,8300,84,0,0,0,0,1950,11951,98,más de 350 smmlv,NA,NA,NA,NA,84,1950000
2007,3,apartamentos,1,4,Nueva,sin licencia,1239,15,68,10500,sistema aporticado,25,180,0,5716,56,0,0,0,0,1780,6955,102,más de 350 smmlv,NA,NA,NA,NA,56,1780000
2007,3,locales,1,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,19,0,988,7,0,7,0,0,1000,988,141,más de 350 smmlv,NA,NA,NA,NA,NA,1000000
2007,3,bodegas,1,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,19,0,572,1,0,1,0,0,700,572,572,más de 350 smmlv,NA,NA,NA,NA,NA,700000
2007,3,otros,1,5,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,15,190,0,12710,1,0,0,0,0,900,12710,12710,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,otros,3,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,1400,1,0,0,0,0,630,1400,1400,más de 350 smmlv,NA,NA,NA,NA,NA,630000
2007,3,apartamentos,1,5,Nueva,sin licencia,555,12,44,9000,estructura metalica,8,95,0,5027,42,0,1,0,0,1800,5582,119,más de 350 smmlv,NA,NA,NA,NA,42,1800000
2007,3,apartamentos,1,3,Nueva,sin licencia,45,NA,NA,NA,sistema aporticado,0,6,0,399,5,0,0,0,0,800,444,79,151 - 350 smmlv,NA,NA,NA,NA,5,800000
2007,3,casas,3,3,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,0,0,154,1,0,0,0,0,800,154,154,151 - 350 smmlv,NA,NA,NA,NA,1,800000
2007,3,apartamentos,3,3,ampliacion,sin licencia,12,NA,NA,NA,sistema aporticado,0,0,0,219,2,0,0,0,0,900,231,109,151 - 350 smmlv,NA,NA,NA,NA,2,900000
2007,3,locales,2,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,65,2,0,0,0,0,900,65,32,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,casas,1,3,ampliacion,sin licencia,0,NA,NA,NA,mamposteria estructural,0,2,0,156,1,0,0,0,0,800,156,156,151 - 350 smmlv,NA,NA,NA,NA,1,800000
2007,3,locales,1,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,3,0,150,1,0,0,0,0,1300,150,150,más de 350 smmlv,NA,NA,NA,NA,NA,1300000
2007,3,apartamentos,1,3,Nueva,sin licencia,20,NA,NA,NA,sistema aporticado,0,3,0,280,3,0,0,0,0,1000,300,93,151 - 350 smmlv,NA,NA,NA,NA,3,1000000
2007,3,locales,3,3,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,37,1,0,0,0,0,1250,37,37,más de 350 smmlv,NA,NA,NA,NA,NA,1250000
2007,3,apartamentos,3,3,Nueva,sin licencia,12,NA,NA,NA,sistema aporticado,0,0,0,111,3,0,0,0,0,1100,123,37,91 - 110 smmlv,NA,NA,NA,3,NA,1100000
2007,3,apartamentos,3,3,ampliacion,sin licencia,7,NA,NA,NA,sistema aporticado,0,0,0,121,1,0,0,0,0,800,128,121,151 - 350 smmlv,NA,NA,NA,NA,1,800000
2007,3,locales,1,2,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,8,0,60,1,0,0,0,0,650,60,60,más de 350 smmlv,NA,NA,NA,NA,NA,650000
2007,3,apartamentos,1,2,Nueva,sin licencia,18,NA,NA,NA,sistema aporticado,0,8,0,302,4,0,0,0,0,600,320,75,111 - 150 smmlv,NA,NA,NA,4,NA,600000
2007,3,apartamentos,1,3,Nueva,sin licencia,60,NA,NA,NA,sistema aporticado,0,5,0,620,3,0,0,0,0,1200,680,206,más de 350 smmlv,NA,NA,NA,NA,3,1200000
2007,3,bodegas,1,4,ampliacion,sin licencia,0,NA,NA,NA,sistema aporticado,1,20,0,5000,1,0,0,0,0,800,5000,5000,más de 350 smmlv,NA,NA,NA,NA,NA,800000
2007,3,apartamentos,3,2,Nueva,sin licencia,26,NA,NA,NA,sistema aporticado,0,0,0,404,3,0,0,0,0,600,430,134,151 - 350 smmlv,NA,NA,NA,NA,3,600000
2007,3,apartamentos,2,3,Nueva,sin licencia,51,NA,NA,NA,sistema aporticado,0,0,0,589,3,0,0,0,0,900,640,196,más de 350 smmlv,NA,NA,NA,NA,3,900000
2007,3,apartamentos,3,3,ampliacion,sin licencia,28,NA,NA,NA,sistema aporticado,0,0,0,384,4,0,0,0,0,1100,412,96,151 - 350 smmlv,NA,NA,NA,NA,4,1100000
2007,3,apartamentos,1,6,Nueva,sin licencia,240,12,10,8000,sistema aporticado,0,12,0,1960,10,0,10,0,0,1900,2200,196,más de 350 smmlv,NA,NA,NA,NA,10,1900000
2007,3,apartamentos,1,5,Nueva,sin licencia,343,12,28,10000,mamposteria estructural,2,33,0,2518,28,4,0,0,0,1800,2861,89,más de 350 smmlv,NA,NA,NA,NA,28,1800000
2007,3,apartamentos,1,6,Nueva,sin licencia,174,12,10,8000,mamposteria estructural,0,15,0,1284,10,0,10,0,0,1900,1458,128,más de 350 smmlv,NA,NA,NA,NA,10,1900000
2007,3,locales,3,5,Nueva,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,450,1,0,0,0,0,680,450,450,más de 350 smmlv,NA,NA,NA,NA,NA,680000
2007,3,apartamentos,1,6,Nueva,sin licencia,313,10,64,10500,sistema aporticado,12,60,0,7020,44,0,0,0,0,1900,7333,145,más de 350 smmlv,NA,NA,NA,NA,44,1900000
2007,3,apartamentos,1,5,Nueva,sin licencia,755,12,31,8000,sistema aporticado,16,53,0,2677,23,0,7,0,0,1450,3432,116,151 - 350 smmlv,NA,NA,NA,NA,23,1450000
2007,3,apartamentos,1,5,Nueva,sin licencia,773,12,21,8000,sistema aporticado,3,28,0,2142,21,0,0,0,0,1960,2915,102,más de 350 smmlv,NA,NA,NA,NA,21,1960000
2007,3,casas,3,3,Nueva,sin licencia,0,NA,NA,NA,mamposteria estructural,0,0,0,110,1,0,0,0,0,1500,110,110,más de 350 smmlv,NA,NA,NA,NA,1,1500000
2007,3,casas,1,5,Nueva,sin licencia,100,NA,NA,NA,mamposteria aporticada,8,150,0,4046,24,0,0,0,0,2960,4146,168,más de 350 smmlv,NA,NA,NA,NA,24,2960000
2007,3,apartamentos,1,3,Nueva,sin licencia,50,NA,NA,NA,sistema aporticado,0,8,0,900,4,0,0,0,0,900,950,225,más de 350 smmlv,NA,NA,NA,NA,4,900000
2007,3,apartamentos,1,3,Nueva,sin licencia,526,13,34,6000,sistema aporticado,0,19,0,3217,32,0,10,0,0,960,3743,100,151 - 350 smmlv,NA,NA,NA,NA,32,960000
2007,3,otros,1,5,Nueva,sin licencia,0,NA,NA,NA,mamposteria estructural,2,10,0,140,1,0,0,0,0,900,140,140,más de 350 smmlv,NA,NA,NA,NA,NA,900000
2007,3,casas,1,5,Nueva,sin licencia,0,NA,NA,NA,mamposteria estructural,10,140,0,5300,53,0,0,0,0,2000,5300,100,más de 350 smmlv,NA,NA,NA,NA,53,2000000
2007,3,apartamentos,1,3,Nueva,sin licencia,14,NA,NA,NA,sistema aporticado,0,7,0,256,3,0,0,0,0,800,270,85,151 - 350 smmlv,NA,NA,NA,NA,3,800000
2007,3,locales,3,3,Nueva,sin licencia,35,NA,NA,NA,sistema aporticado,0,0,0,503,2,0,0,0,0,1500,538,251,más de 350 smmlv,NA,NA,NA,NA,NA,1500000
2007,3,locales,3,3,ampliacion,sin licencia,0,NA,NA,NA,sistema aporticado,0,0,0,750,1,0,0,0,0,1300,750,750,más de 350 smmlv,NA,NA,NA,NA,NA,1300000
2007,3,apartamentos,1,2,Nueva,sin licencia,21,NA,NA,NA,mamposteria estructural,0,3,0,294,3,0,0,0,0,650,315,98,151 - 350 smmlv,NA,NA,NA,NA,3,650000
2007,3,casas,1,2,Nueva,sin licencia,0,NA,NA,NA,mamposteria estructural,0,4,0,112,1,0,0,0,0,650,112,112,151 - 350 smmlv,NA,NA,NA,NA,1,650000
2007,3,casas,1,2,Nueva,sin licencia,0,NA,NA,NA,mamposteria aporticada,0,4,0,214,1,0,0,0,0,650,214,214,151 - 350 smmlv,NA,NA,NA,NA,1,650000
